,city,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Wind_Speed
0,Punta Arenas,20,CL,2019-03-23,71,-53.16,-70.91,13.0,3.6
1,Dikson,68,RU,2019-03-23,91,73.51,80.55,-9.41,9.62
2,Kurikka,12,FI,2019-03-23,60,62.62,22.4,5.0,4.1
3,Rikitea,32,PF,2019-03-23,98,-23.12,-134.97,26.29,8.47
4,Hilo,40,US,2019-03-23,60,19.71,-155.08,24.0,2.1
5,Gouyave,40,GD,2019-03-23,74,12.16,-61.73,30.0,7.7
6,Hermanus,64,ZA,2019-03-23,85,-34.42,19.24,21.67,1.62
7,Geraldton,5,CA,2019-03-23,17,49.72,-86.95,8.0,7.2
8,Saldanha,24,PT,2019-03-23,29,41.42,-6.55,18.19,3.87
9,Mount Isa,68,AU,2019-03-23,78,-20.73,139.49,25.0,5.1
10,Hobart,75,AU,2019-03-23,63,-42.88,147.33,18.0,0.5
11,Chokurdakh,56,RU,2019-03-23,50,70.62,147.9,-27.51,1.42
12,Port Alfred,0,ZA,2019-03-23,93,-33.59,26.89,24.44,0.45
13,Saskylakh,0,RU,2019-03-23,33,71.97,114.09,-30.56,1.52
14,Ushuaia,40,AR,2019-03-23,71,-54.81,-68.31,13.0,2.6
15,Buala,48,SB,2019-03-23,100,-8.15,159.59,26.09,2.32
16,Grand Gaube,75,MU,2019-03-23,83,-20.01,57.66,27.0,4.6
17,Yerbogachen,32,RU,2019-03-23,50,61.28,108.01,-13.41,3.22
18,Lavrentiya,92,RU,2019-03-23,100,65.58,-170.99,-9.91,4.47
19,Georgetown,40,GY,2019-03-23,66,6.8,-58.16,32.0,6.2
20,Faanui,44,PF,2019-03-23,100,-16.48,-151.75,28.59,4.57
21,Saint-Philippe,1,CA,2019-03-23,68,45.36,-73.48,2.78,2.6
22,Kapaa,75,US,2019-03-23,73,22.08,-159.32,23.0,9.3
23,Souillac,0,FR,2019-03-23,36,45.6,-0.6,18.0,2.1
24,Busselton,8,AU,2019-03-23,53,-33.64,115.35,11.67,5.92
25,Nikolskoye,90,RU,2019-03-23,93,59.7,30.79,3.89,3.0
26,Vaini,0,IN,2019-03-23,85,15.34,74.49,21.09,1.37
27,Tokur,0,RU,2019-03-23,55,53.13,132.9,-21.86,1.42
28,Dunedin,68,NZ,2019-03-23,85,-45.87,170.5,15.56,1.42
29,Atocha,40,EC,2019-03-23,55,-1.22,-78.6,29.0,5.1
30,Bluff,0,AU,2019-03-23,89,-23.58,149.07,21.24,1.67
31,Vao,92,EE,2019-03-23,94,59.1,26.19,3.44,5.07
32,Angoche,20,MZ,2019-03-23,99,-16.23,39.91,28.54,5.02
33,Molochnoye,92,UA,2019-03-23,76,44.91,34.04,1.99,3.27
34,Kuytun,64,RU,2019-03-23,81,54.34,101.51,-3.01,2.27
35,Bethel,75,US,2019-03-23,74,60.79,-161.76,4.0,3.6
36,Dixon,1,US,2019-03-23,82,41.84,-89.48,11.67,2.1
37,Victoria,75,BN,2019-03-23,88,5.28,115.24,27.0,2.1
38,Nelson Bay,20,AU,2019-03-23,88,-32.72,152.14,21.11,3.1
39,Atar,0,MR,2019-03-23,27,20.52,-13.05,27.49,4.62
40,Manaure,20,CO,2019-03-23,70,11.78,-72.45,29.0,9.3
41,Mahroni,0,IN,2019-03-23,37,24.59,78.73,18.74,1.42
42,Gurjaani,90,GE,2019-03-23,70,41.75,45.79,6.0,8.7
43,Bambous Virieux,75,MU,2019-03-23,83,-20.34,57.76,27.0,4.6
